こんにちは: 你好  
ありがとう: 谢谢  
おはよう: 早上好  
こんばんは: 晚上好  
おやすみなさい: 晚安  
すみません: 对不起  
はい: 是的  
いいえ: 不是  
お願いします: 请  
どういたしまして: 不客气  
さようなら: 再见  
ごめんなさい: 对不起  
いくらですか: 多少钱  
どこですか: 在哪里  
わかりますか: 你明白吗  
わかりません: 我不明白  
これ: 这个  
それ: 那个  
あれ: 那个（远处）  
ここ: 这里  
そこ: 那里  
あそこ: 那边  
だれ: 谁  
なに: 什么  
いつ: 什么时候  
どうして: 为什么  
どちら: 哪一边  
どう: 怎么样  
いくつ: 多少（数量）  
いくら: 多少（价格）  
たくさん: 很多  
少し: 一点  
今: 现在  
今日: 今天  
明日: 明天  
昨日: 昨天  
時間: 时间  
一緒に: 一起  
一人: 一个人  
友達: 朋友  
家族: 家庭  
学校: 学校  
会社: 公司  
店: 商店  
銀行: 银行  
病院: 医院  
食べる: 吃  
飲む: 喝  
行く: 去  
来る: 来  
見る: 看  
聞く: 听  
話す: 说  
書く: 写  
読む: 读  
立つ: 站  
座る: 坐  
歩く: 走  
走る: 跑  
泳ぐ: 游泳  
寝る: 睡觉  
起きる: 起床  
勉強する: 学习  
仕事する: 工作  
知る: 知道  
忘れる: 忘记  
思う: 认为  
覚える: 记得  
信じる: 相信  
疲れる: 累  
楽しい: 快乐  
面白い: 有趣  
嬉しい: 高兴  
悲しい: 伤心  
怒る: 生气  
寂しい: 寂寞  
美しい: 美丽  
大きい: 大  
小さい: 小  
長い: 长  
短い: 短  
高い: 高  
低い: 低  
暑い: 热  
寒い: 冷  
おいしい: 好吃  
まずい: 难吃  
高い: 贵  
安い: 便宜  
新しい: 新  
古い: 旧  
近い: 近  
遠い: 远  
上: 上  
下: 下  
左: 左  
右: 右  
前: 前  
後ろ: 后  
内: 内  
外: 外  
右側: 右边  
左側: 左边  
中: 中  
外側: 外面  
入口: 入口  
出口: 出口  
目: 眼睛  
耳: 耳朵  
鼻: 鼻子  
口: 嘴巴  
手: 手  
足: 脚  
頭: 头  
胸: 胸部  
背中: 背部  
腹: 腹部  
体: 身体  
健康: 健康  
病気: 生病  
気分: 心情  
休む: 休息  
運動: 运动  
食事: 饭  
洗う: 洗  
掃除する: 打扫  
笑う: 笑  
泣く: 哭  
喜ぶ: 高兴  
驚く: 吃惊  
眠い: 睡意  
疲れた: 累了  
美味しい: 好吃  
不味い: 难吃  
忙しい: 忙碌  
暇: 空闲  
難しい: 难  
簡単: 简单  
面倒: 麻烦  
興味: 兴趣  
楽しみ: 期待  
恥ずかしい: 尴尬  
早い: 早  
遅い: 晚  
正しい: 正确  
間違い: 错误  
大丈夫: 没关系  
失礼: 失礼  
おかしい: 好笑  
つまらない: 无聊  
知識: 知识  
技術: 技术  
経験: 经验  
成功: 成功  
失敗: 失败  
目標: 目标  
進歩: 进步  
退歩: 退步  
努力: 努力  
効率: 效率  
質問: 问题  
答え: 答案  
課題: 任务  
研究: 研究  
実験: 实验  
発表: 发表  
提出: 提交  
協力: 合作  
計画: 计划  
理解: 理解  
期待: 期待  
驚き: 吃惊  
反応: 反应  
対応: 应对  
方法: 方法  
詳細: 详细  
基本: 基本  
成果: 成果  
効能: 功效  
質: 质量  
価値: 价值  
意味: 意义  
状況: 情况  
環境: 环境  
変化: 变化  
普通: 普通  
特別: 特别  
機会: 机会  
重要: 重要  
必要: 必要  
可能: 可能  
不可能: 不可能  
理由: 理由  
結果: 结果  
成長: 成长  
開発: 开发  
設計: 设计  
影響: 影响  
制度: 制度  
文化: 文化  
桜小路ルナ: 樱小路露娜  
